1264926937	20250924	202509	2025	2025.7233											COP	POLICE						COP			0	101	101	10	3	-5.0	2	1	2	-11.2224448897796	0								5	Bauchi State, Bauchi, Nigeria	NI	NI46	22661	10.5	10	-2002332	4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	20250924120000	https://www.naijanews.com/2025/09/24/14-suspects-arrested-as-police-uncover-%E2%82%A64-8-billion-kainji-power-plant-theft/
1264926938	20250924	202509	2025	2025.7233											COP	POLICE						COP			0	101	101	10	3	-5.0	8	1	8	-11.2224448897796	0								4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	20250924120000	https://www.naijanews.com/2025/09/24/14-suspects-arrested-as-police-uncover-%E2%82%A64-8-billion-kainji-power-plant-theft/
1264926939	20250924	202509	2025	2025.7233											COP	PRISON						COP			0	112	112	11	3	-2.0	2	1	2	-4.83005366726297	0								4	Diliman, Bulacan, Philippines	RP	RP13	24221	15.025	120.95	-2424559	4	Diliman, Bulacan, Philippines	RP	RP13	24221	15.025	120.95	-2424559	20250924120000	https://www.dw.com/en/philippines-marcos-jr-touts-press-freedom-despite-threats/a-74119075
1264926940	20250924	202509	2025	2025.7233											COP	PRISON						COP			0	112	112	11	3	-2.0	6	1	6	-4.83005366726297	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20250924120000	https://www.dw.com/en/philippines-marcos-jr-touts-press-freedom-despite-threats/a-74119075
1264926941	20250924	202509	2025	2025.7233											COP	POLICE						COP			1	112	112	11	3	-2.0	1	1	1	-3.59712230215827	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250924120000	https://www.bloomberg.com/opinion/articles/2025-09-24/nyc-mayoral-election-disaster-is-bigger-than-mamdani-and-his-foes
1264926942	20250924	202509	2025	2025.7233											COP	DEPUTIES						COP			0	120	120	12	3	-4.0	3	1	3	-6.65236051502146	0								3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	20250924120000	https://sacobserver.com/2025/09/a-brutal-beating-by-deputies-was-caught-on-tape-they-were-cleared-by-state-police-anyway/
1264926943	20250924	202509	2025	2025.7233											COP	DEPUTIES						COP			0	180	180	18	4	-9.0	3	1	3	-6.65236051502146	0								3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	3	Desoto Parish, Louisiana, United States	US	USLA		32.0668	-93.7669	558521	20250924120000	https://sacobserver.com/2025/09/a-brutal-beating-by-deputies-was-caught-on-tape-they-were-cleared-by-state-police-anyway/
1264926944	20250924	202509	2025	2025.7233											COP	POLICE						COP			1	193	193	19	4	-10.0	3	1	3	-13.0769230769231	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20250924120000	https://www.ewn.co.za/2025/09/24/3-suspects-killed-in-shootout-with-police-in-atteridgeville
1264926945	20250924	202509	2025	2025.7233											COPCOP	POLICE						COP	COP		0	190	190	19	4	-10.0	6	1	6	0	0								1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20250924120000	https://www.mirror.co.uk/tv/tv-news/itv-hack-cast-who-stars-35956515
1264926946	20250924	202509	2025	2025.7233											CRM	BANDIT						CRM			0	050	050	05	1	3.5	10	1	10	-4.79887085391673	0								4	Faskari, Katsina, Nigeria	NI	NI24	191045	11.7196	7.02716	-2007123	4	Faskari, Katsina, Nigeria	NI	NI24	191045	11.7196	7.02716	-2007123	20250924120000	https://saharareporters.com/2025/09/24/oped-cruciality-disarmament-dialogue-bandits-samuel-aruwan
1264926947	20250924	202509	2025	2025.7233											CRM	GANG						CRM			0	051	051	05	1	3.4	6	1	6	-2.25225225225226	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20250924120000	https://movieweb.com/jimmy-kimmel-live-return-emotional-message-peace-kirk/
1264926948	20250924	202509	2025	2025.7233											CVL	IMMIGRANT						CVL			1	020	020	02	1	3.0	3	1	3	1.57116451016636	0								1	Rwanda	RW	RW		-2	30	RW	1	Rwanda	RW	RW		-2	30	RW	20250924120000	https://techcabal.com/2025/09/24/h-1b-visa-fee-tests-africa-tech-ambitions/
1264926949	20250924	202509	2025	2025.7233											CVL	COMMUNITY						CVL			0	030	030	03	1	4.0	10	1	10	-1.64222873900293	0								3	Huerfano County, Colorado, United States	US	USCO		37.6833	-104.951	198143	3	Huerfano County, Colorado, United States	US	USCO		37.6833	-104.951	198143	20250924120000	https://www.motherjones.com/politics/2025/09/ice-detention-money-goldrush-concentration-camp-godsend-walsenburg-colorado-corecivic/
1264926950	20250924	202509	2025	2025.7233											CVL	COMMUNITY						CVL			1	052	052	05	1	3.5	3	1	3	6.94214876033058	0								4	Khaimah, Ra's al Khaymah, United Arab Emirates	AE	AE05	28574	25.7895	55.9432	-784007	4	Khaimah, Ra's al Khaymah, United Arab Emirates	AE	AE05	28574	25.7895	55.9432	-784007	20250924120000	https://tradearabia.com:443/News/436965/RAK-Properties-launches-resort-inspired-Mirasol-Phase-II
1264926951	20250924	202509	2025	2025.7233											CVL	VILLAGE						CVL			1	080	080	08	2	5.0	10	1	10	-0.76335877862596	0								4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250924120000	https://www.rediff.com/news/special/history-in-minutes-bhikaji-cama-the-lady-who-survived-plague-and-defied-an-empire/20250924.htm
1264926952	20250924	202509	2025	2025.7233											DEU	GERMANY	DEU								0	046	046	04	1	7.0	4	1	4	-0.76335877862596	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20250924120000	https://www.rediff.com/news/special/history-in-minutes-bhikaji-cama-the-lady-who-survived-plague-and-defied-an-empire/20250924.htm
1264926953	20250924	202509	2025	2025.7233											DEU	GERMAN	DEU								1	111	111	11	3	-2.0	4	1	4	-5.97826086956522	0								1	Germany	GM	GM		51.5	10.5	GM	1	Greece	GR	GR		39	22	GR	20250924120000	https://www.middleeasteye.net/live-blog/live-blog-update/footage-shows-apparent-attack-gaza-bound-global-sumud-flotilla-near
1264926954	20250924	202509	2025	2025.7233											EDU	COLLEGE						EDU			1	043	043	04	1	2.8	3	1	3	0	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250924120000	https://www.startribune.com/university-minnesota-crown-most-performative-male-tiktok-trend/601476047
1264926955	20250924	202509	2025	2025.7233											EDU	SCHOOL						EDU			1	043	043	04	1	2.8	2	1	2	2.125	0								3	San Marcos High School, Texas, United States	US	USTX		29.8622	-97.9395	2006635	3	San Marcos High School, Texas, United States	US	USTX		29.8622	-97.9395	2006635	20250924120000	https://www.sanmarcosrecord.com/article/31347,state-of-workforce-higher-education-summit-prepares-students-for-workforce
1264926956	20250924	202509	2025	2025.7233											EDU	STUDENT						EDU			1	043	043	04	1	2.8	10	1	10	-2.70700636942675	0								3	Avery Point, Connecticut, United States	US	USCT		41.3154	-72.0634	212846	3	Avery Point, Connecticut, United States	US	USCT		41.3154	-72.0634	212846	20250924120000	https://dailycampus.com/2025/09/24/the-stamford-tenant-removal-and-uconns-over-admittance-crisis/
1264926957	20250924	202509	2025	2025.7233											EDU	COLLEGE						EDU			1	043	043	04	1	2.8	2	1	2	0	0								2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250924120000	https://www.startribune.com/university-minnesota-crown-most-performative-male-tiktok-trend/601476047
1264926958	20250924	202509	2025	2025.7233											EDU	PROFESSOR						EDU			0	112	112	11	3	-2.0	4	1	4	-3.09859154929577	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250924120000	https://www.nbcnews.com/news/us-news/trumps-ukraine-reversal-kimmels-return-late-night-tv-morning-rundown-rcna233355
1264926959	20250924	202509	2025	2025.7233											EDU	PROFESSOR						EDU			0	112	112	11	3	-2.0	6	1	6	-3.09859154929577	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250924120000	https://www.nbcnews.com/news/us-news/trumps-ukraine-reversal-kimmels-return-late-night-tv-morning-rundown-rcna233355
1264926960	20250924	202509	2025	2025.7233											ELI	ACTOR						ELI			1	046	046	04	1	7.0	10	1	10	0	0								1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20250924120000	https://www.mirror.co.uk/tv/tv-news/itv-hack-cast-who-stars-35956515
