1263377674	20250916	202509	2025	2025.7014											EDU	STUDENT						EDU			0	190	190	19	4	-10.0	10	1	10	-9.09090909090911	0								5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	20250916073000	https://www.news18.com/india/19-year-old-student-preparing-for-neet-shot-dead-by-cattle-smugglers-in-ups-gorakhpur-9575145.html
1263377675	20250916	202509	2025	2025.7014											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	3.20366132723112	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Singapore	SN	SN		1.366667	103.8	SN	20250916073000	https://magic983.com/2025/09/16/this-day-in-top-40-history-september-16/
1263377676	20250916	202509	2025	2025.7014											GBR	LEEDS	GBR								0	043	043	04	1	2.8	2	1	2	3.45622119815668	0								4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	20250916073000	https://www.thebusinessdesk.com/yorkshire/news/2143931-yorkshire-mayors-reignite-campaign-for-new-northern-railway-revolution
1263377677	20250916	202509	2025	2025.7014											GBR	UNITED KINGDOM	GBR								1	051	051	05	1	3.4	4	1	4	3.20366132723112	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20250916073000	https://magic983.com/2025/09/16/this-day-in-top-40-history-september-16/
1263377678	20250916	202509	2025	2025.7014											GBRGOV	DOWNING STREET	GBR					GOV			1	042	042	04	1	1.9	6	1	6	-1.08303249097473	0								4	Stockport, Stockport, United Kingdom	UK	UKN2	40111	53.4	-2.15	-2608770	4	Stockport, Stockport, United Kingdom	UK	UKN2	40111	53.4	-2.15	-2608770	20250916073000	https://theweek.com/politics/angela-rayner-the-rise-and-fall-of-a-labour-stalwart
1263377679	20250916	202509	2025	2025.7014											GHA	ACCRA	GHA								1	190	190	19	4	-10.0	5	1	5	3.03468208092486	0								4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20250916073000	https://www.newsghana.com.gh/nii-ayi-okufuobour-i-outlines-historical-information-over-lafa-barima-nmarko-stool/
1263377680	20250916	202509	2025	2025.7014											GOV	GOVERNMENT						GOV			1	010	010	01	1	0.0	5	1	5	4.48979591836735	0								4	Ashgabat, Ahal, Turkmenistan	TX	TX01	147325	37.95	58.3833	-2557812	4	Ashgabat, Ahal, Turkmenistan	TX	TX01	147325	37.95	58.3833	-2557812	20250916073000	https://www.newscentralasia.net/2025/09/16/tif-side-event-highlights-national-sdg-financing-priorities/
1263377681	20250916	202509	2025	2025.7014											GOV	GOVERNMENT						GOV			0	030	030	03	1	4.0	4	1	4	3.45622119815668	0								4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	4	Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54	-1.5	-2612324	20250916073000	https://www.thebusinessdesk.com/yorkshire/news/2143931-yorkshire-mayors-reignite-campaign-for-new-northern-railway-revolution
1263377682	20250916	202509	2025	2025.7014											GOV	SECRETARIAT						GOV			1	040	040	04	1	1.0	2	1	2	-3.33333333333333	0								4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250916073000	https://blueprint.ng/prevent-another-strike-by-university-unions-copsun-tells-fg-stakeholders/
1263377683	20250916	202509	2025	2025.7014											GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	5	1	5	4.48979591836735	0								4	Ashgabat, Ahal, Turkmenistan	TX	TX01	147325	37.95	58.3833	-2557812	4	Ashgabat, Ahal, Turkmenistan	TX	TX01	147325	37.95	58.3833	-2557812	20250916073000	https://www.newscentralasia.net/2025/09/16/tif-side-event-highlights-national-sdg-financing-priorities/
1263377684	20250916	202509	2025	2025.7014											GOV	PRESIDENT						GOV			1	046	046	04	1	7.0	6	1	6	1.3550135501355	0								2	North Dakota, United States	US	USND		47.5362	-99.793	ND	2	North Dakota, United States	US	USND		47.5362	-99.793	ND	20250916073000	https://news.prairiepublic.org/podcast/dakota-datebook/2025-09-16/september-16-fryburg-north-dakota
