1267393739	20251008	202510	2025	2025.7616											BUS	AIRLINE						BUS			0	046	046	04	1	7.0	20	1	10	6.68079272092734	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393740	20251008	202510	2025	2025.7616											BUS	BANK						BUS			1	112	112	11	3	-2.0	10	1	10	-7.56972111553785	0								0								0								20251008061500	https://www.bordermail.com.au/story/9083793/alleged-border-conman-shane-banks-faces-court-over-300k-fraud/
1267393741	20251008	202510	2025	2025.7616											EDU	UNIVERSITY						EDU			1	043	043	04	1	2.8	10	1	10	-0.36188178528347	0								4	Turkana, Eastern, Kenya	KE	KE03	18585	0.665673	37.8897	-2263938	4	Turkana, Eastern, Kenya	KE	KE03	18585	0.665673	37.8897	-2263938	20251008061500	https://www.spectator.co.uk/article/a-gen-z-er-saved-me/
1267393742	20251008	202510	2025	2025.7616											EDU	SCHOOL						EDU			1	046	046	04	1	7.0	3	1	3	-5.21920668058455	0								4	Central Coast, New South Wales, Australia	AS	AS02	5004	-33.4298	151.371	11430413	4	Central Coast, New South Wales, Australia	AS	AS02	5004	-33.4298	151.371	11430413	20251008061500	https://www.dailymail.co.uk/news/article-15171857/Unmasked-Teacher-accused-raping-teenage-girl-arrested-allegedly-tried-fly-country-South-Africa.html
1267393743	20251008	202510	2025	2025.7616											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	-2.62345679012346	0								4	Handsworth, Sheffield, United Kingdom	UK	UKL9	40130	53.3667	-1.38333	-2598091	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251008061500	https://www.lbc.co.uk/article/jenrick-engaging-leadership-campaign-starmer-5HjdF66_2/
1267393744	20251008	202510	2025	2025.7616											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	1	1	1	-2.62345679012346	0								4	Handsworth, Sheffield, United Kingdom	UK	UKL9	40130	53.3667	-1.38333	-2598091	4	Handsworth, Sheffield, United Kingdom	UK	UKL9	40130	53.3667	-1.38333	-2598091	20251008061500	https://www.lbc.co.uk/article/jenrick-engaging-leadership-campaign-starmer-5HjdF66_2/
1267393745	20251008	202510	2025	2025.7616											GBR	BRITISH	GBR								1	043	043	04	1	2.8	6	1	6	-2.62345679012346	0								4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251008061500	https://www.lbc.co.uk/article/jenrick-engaging-leadership-campaign-starmer-5HjdF66_2/
1267393746	20251008	202510	2025	2025.7616											GBR	UNITED KINGDOM	GBR								1	060	060	06	2	6.0	1	1	1	6.08365019011407	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20251008061500	https://www.arabianbusiness.com/industries/education/uae-education-giant-taaleem-acquires-school-plot-in-ghaf-woods-development
1267393747	20251008	202510	2025	2025.7616											GBR	UNITED KINGDOM	GBR								1	060	060	06	2	6.0	1	1	1	6.08365019011407	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	1	United Kingdom	UK	UK		54	-4	UK	20251008061500	https://www.arabianbusiness.com/industries/education/uae-education-giant-taaleem-acquires-school-plot-in-ghaf-woods-development
1267393748	20251008	202510	2025	2025.7616											GBR	UNITED KINGDOM	GBR								1	060	060	06	2	6.0	2	1	2	-0.65274151436031	0								1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20251008061500	https://www.spectator.co.uk/article/leave-barbour-alone/
1267393749	20251008	202510	2025	2025.7616											GHA	ACCRA	GHA								1	042	042	04	1	1.9	10	1	10	1.94489465153971	0								4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20251008061500	http://www.businessghana.com/site/news/general/335859/Local-communities-urged-to-safeguard-forest-reserves
1267393750	20251008	202510	2025	2025.7616											GHABUS	GHANA	GHA					BUS			1	014	014	01	1	0.0	5	1	5	-1.60550458715596	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20251008061500	http://www.businessghana.com/site/news/business/335862/CEOs-of-rural-banks-plead-with-BoG-to-reconsider-tenure-directive
1267393751	20251008	202510	2025	2025.7616											GHABUS	GHANA	GHA					BUS			1	100	100	10	3	-5.0	5	1	5	-1.60550458715596	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20251008061500	http://www.businessghana.com/site/news/business/335862/CEOs-of-rural-banks-plead-with-BoG-to-reconsider-tenure-directive
1267393752	20251008	202510	2025	2025.7616											GOV	GOVERNMENT						GOV			1	017	017	01	1	0.0	10	1	10	5.42372881355932	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251008061500	https://www.newkerala.com/news/o/mos-margherita-attends-80th-anniversary-independence-day-armed-forces-218
1267393753	20251008	202510	2025	2025.7616											GOV	PRIME MINISTER						GOV			0	036	036	03	1	4.0	30	5	30	0.92307692307692	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251008061500	https://www.stalbansreview.co.uk/news/national/25525579.starmer-urges-business-leaders-seize-opportunities-indian-trade-deal/
1267393754	20251008	202510	2025	2025.7616											GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	4	1	4	-6.68693009118541	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251008061500	https://thesun.my/world-news/hamas-ready-for-gaza-deal-on-war-anniversary-but-demands-guarantees-LB15051921
1267393755	20251008	202510	2025	2025.7616											HLH	HOSPITAL						HLH			0	130	130	13	3	-4.4	10	1	10	5.34979423868313	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20251008061500	https://www.leicestermercury.co.uk/news/health/ukhsa-issues-health-guidance-people-10555094
1267393756	20251008	202510	2025	2025.7616											IGOUNO	UNITED NATIONS		UNO				IGO			0	0841	084	08	2	7.0	10	1	10	-1.98821796759941	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20251008061500	https://scroll.in/article/1087360/with-its-silence-on-palestinian-statehood-us-proposal-deceives-rather-than-bringing-peace
1267393757	20251008	202510	2025	2025.7616											IND	KOLKATA	IND								1	042	042	04	1	1.9	3	1	3	0	0								4	Rampur, Uttar Pradesh, India	IN	IN36	70288	28.8167	79.0333	-2108995	4	Rampur, Uttar Pradesh, India	IN	IN36	70288	28.8167	79.0333	-2108995	20251008061500	https://scroll.in/article/1086933/from-the-memoir-musician-ustad-allauddin-khan-writes-about-his-mentors-and-his-life-lessons
1267393758	20251008	202510	2025	2025.7616											IRL	DUBLIN	IRL								0	036	036	03	1	4.0	10	1	10	6.68079272092734	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251008061500	https://www.futuretravelexperience.com/fte-emea/
1267393759	20251008	202510	2025	2025.7616											IRL	IRISH	IRL								1	040	040	04	1	1.0	7	1	7	-4.67289719626168	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251008061500	https://www.newstalk.com/podcasts/newstalk-daily/motor-neurone-disease-what-we-really-know
1267393760	20251008	202510	2025	2025.7616											IRL	DUBLIN	IRL								0	042	042	04	1	1.9	25	1	15	6.79339742762527	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251008061500	https://www.futuretravelexperience.com/fte-emea/
