1267454980	20251008	202510	2025	2025.7616											CHNBUS	CHINA	CHN					BUS			1	042	042	04	1	1.9	2	1	2	5.10510510510511	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251008131500	http://northcountrynow.com/stories/smoking-and-barbecuing-class-oct-11-to-honor-late-canton-community-member-reggie-sapp,327982
1267454981	20251008	202510	2025	2025.7616											COL	COLOMBIA	COL								1	042	042	04	1	1.9	10	1	10	4.9163179916318	0								4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20251008131500	http://www.albuquerqueexpress.com/news/278624589/esgold-accelerates-expansion-plan-with-colombia-validation
1267454982	20251008	202510	2025	2025.7616											COP	POLICE						COP			0	042	042	04	1	1.9	5	1	5	-3.80434782608695	0								4	Atmakur, Andhra Pradesh, India	IN	IN02	17558	15.8833	78.5833	-2089303	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20251008131500	https://www.thehindu.com/news/national/andhra-pradesh/missing-girls-traced-in-hyderabad-handed-over-to-parents/article70136482.ece
1267454983	20251008	202510	2025	2025.7616											COP	POLICE						COP			1	043	043	04	1	2.8	2	1	2	1.79211469534051	0								4	Cheras, Malaysia (general), Malaysia	MY	MY00	18585	3.05	101.767	-2360826	4	Cheras, Malaysia (general), Malaysia	MY	MY00	18585	3.05	101.767	-2360826	20251008131500	https://thesun.my/malaysia-news/police-deploy-140-personnel-for-gaza-solidarity-rally-at-bukit-jalil-LB15055086
1267454984	20251008	202510	2025	2025.7616											COP	POLICE						COP			0	190	190	19	4	-10.0	10	1	10	-6.75675675675675	0								1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20251008131500	https://www.pbcommercial.com/news/2025/oct/08/gen-z-takes-action-against-corruption/
1267454985	20251008	202510	2025	2025.7616											COP	SECURITY FORCE						COP			1	190	190	19	4	-10.0	10	1	10	-6.75675675675675	0								1	Madagascar	MA	MA		-20	47	MA	1	Morocco	MO	MO		32	-5	MO	20251008131500	https://www.pbcommercial.com/news/2025/oct/08/gen-z-takes-action-against-corruption/
1267454986	20251008	202510	2025	2025.7616											CRM	CRIMINAL						CRM			1	080	080	08	2	5.0	10	1	10	-9.85507246376809	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251008131500	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=64360
1267454987	20251008	202510	2025	2025.7616											CRM	KIDNAPPER						CRM			1	193	193	19	4	-10.0	5	1	5	-7.77777777777782	0								4	Okene, Nigeria (general), Nigeria	NI	NI00	191223	7.5456	6.2538	-2022598	4	Okene, Nigeria (general), Nigeria	NI	NI00	191223	7.5456	6.2538	-2022598	20251008131500	https://www.nigerianeye.com/2025/10/security-forces-rescue-eight-kidnapped.html
1267454988	20251008	202510	2025	2025.7616											CVL	COMMUNITY						CVL			1	100	100	10	3	-5.0	5	1	5	-0.43103448275862	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20251008131500	https://theheraldghana.com/cocobod-intensifies-crackdown-on-cocoa-smuggling-offers-one-third-rewards-to-informants/
1267454989	20251008	202510	2025	2025.7616											CVL	CIVILIAN						CVL			1	190	190	19	4	-10.0	1	1	1	-7.79220779220779	0								4	Zavodovka, Krasnoyarskiy Kray, Russia	RS	RS39	25066	56.5123	97.0611	-3045731	4	Zavodovka, Krasnoyarskiy Kray, Russia	RS	RS39	25066	56.5123	97.0611	-3045731	20251008131500	https://naharnet.com/stories/en/315703-ukraine-strike-on-russia-held-part-of-kherson-region-kills-four
