1265338942	20250926	202509	2025	2025.7288											GOV	GOVERNANCE						GOV			0	051	051	05	1	3.4	10	1	10	6.61310259579728	0								4	Torres Strait Islands, Queensland, Australia	AS	AS04	154697	-10.5	142.25	-1605417	4	Torres Strait Islands, Queensland, Australia	AS	AS04	154697	-10.5	142.25	-1605417	20250926100000	https://www.australianageingagenda.com.au/clinical/gsgl-tool-tackles-culture-gaps/
1265338943	20250926	202509	2025	2025.7288											GOV	PRESIDENT						GOV			0	100	100	10	3	-5.0	10	1	10	-3.59477124183007	0								4	Lilongwe, Lilongwe, Malawi	MI	MI11	19310	-13.9833	33.7833	-1482799	4	Mtalimanja, Salima, Malawi	MI	MI22	65269	-13.5833	34.2667	-1484847	20250926100000	https://mwnation.com/chakwera-mcp-withdraw-election-challenge/
1265338944	20250926	202509	2025	2025.7288											GOV	GOVERNMENT						GOV			0	100	100	10	3	-5.0	6	1	6	-5.96797671033479	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Italy	IT	IT		42.833333	12.833333	IT	20250926100000	https://www.newsweek.com/nato-warships-protecting-gaza-convoy-against-israel-attack-greta-thunberg-10786877
1265338945	20250926	202509	2025	2025.7288											GOVHLH	GOVERNMENT						GOV	HLH		1	042	042	04	1	1.9	10	1	10	-3.40236686390533	0								0								0								20250926100000	https://www.newsx.com/india/andhra-pradesh-chilling-cctv-footage-toddler-chases-cat-slips-dies-after-falling-into-boiling-pot-of-milk-81448/
1265338946	20250926	202509	2025	2025.7288											IND	CHANDIGARH	IND								1	043	043	04	1	2.8	5	1	5	1.37931034482758	0								4	Palam, Maharashtra, India	IN	IN16	70186	19.0167	76.95	-2106795	4	Palam, Maharashtra, India	IN	IN16	70186	19.0167	76.95	-2106795	20250926100000	https://www.news18.com/india/what-next-for-retired-mig-21-fighter-jets-explained-in-5-points-9598040.html
1265338947	20250926	202509	2025	2025.7288											INDBUS	BARODA	IND					BUS			1	057	057	05	1	8.0	12	1	6	5.6	0								4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	4	Baroda, Gujarat, India	IN	IN09	70124	22.3	73.2	-2114049	20250926100000	https://www.equitybulls.com/category.php?id=362102
1265338948	20250926	202509	2025	2025.7288											IRQ	ASSUR	IRQ								1	190	190	19	4	-10.0	10	1	10	3.33333333333333	0								0								0								20250926100000	https://www.educationtimes.com/article/newsroom/99739718/gate-2026-iit-guwahati-promises-smooth-exam-schedule-assures-won-t-clash-with-upsc
1265338949	20250926	202509	2025	2025.7288											JUD	COUNSELOR						JUD			0	020	020	02	1	3.0	10	1	10	-0.5940594059406	0								3	Jackson County, Missouri, United States	US	USMO		39.0167	-94.3502	758502	3	Jackson County, Missouri, United States	US	USMO		39.0167	-94.3502	758502	20250926100000	https://www.kcur.org/politics-elections-and-government/2025-09-26/jackson-county-frank-white-recall-replacement
1265338950	20250926	202509	2025	2025.7288											LAB	STAFF MEMBER						LAB			1	043	043	04	1	2.8	10	1	10	-6.80100755667506	0								4	Kasungu, Kasungu, Malawi	MI	MI09	19309	-13.0364	33.4822	-1482219	4	Kasungu, Kasungu, Malawi	MI	MI09	19309	-13.0364	33.4822	-1482219	20250926100000	https://www.maravipost.com/fear-tension-rock-mbc-after-regime-change-as-mcp-cadres-face-chopping/
1265338951	20250926	202509	2025	2025.7288											LEG	LEGISLATOR						LEG			0	042	042	04	1	1.9	2	1	2	-0.20147750167897	0								3	Johnson County, Kansas, United States	US	USKS		38.8667	-94.8669	485010	3	Johnson County, Kansas, United States	US	USKS		38.8667	-94.8669	485010	20250926100000	https://www.kcur.org/politics-elections-and-government/2025-09-26/johnson-county-kansas-redistricting-sharice-davids-gerrymander
1265338952	20250926	202509	2025	2025.7288											LEG	LEGISLATOR						LEG			0	042	042	04	1	1.9	3	1	3	-0.20147750167897	0								3	Topeka, Kansas, United States	US	USKS	KS177	39.0483	-95.678	485477	3	Topeka, Kansas, United States	US	USKS	KS177	39.0483	-95.678	485477	20250926100000	https://www.kcur.org/politics-elections-and-government/2025-09-26/johnson-county-kansas-redistricting-sharice-davids-gerrymander
1265338953	20250926	202509	2025	2025.7288											LEG	DELEGATE						LEG			0	042	042	04	1	1.9	10	1	10	0.15847860538827	0								1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20250926100000	https://sundayworld.co.za/politics/brics-bank-ready-to-fund-new-nuclear-power-stations-says-vladimir-putin/
1265338954	20250926	202509	2025	2025.7288											LEG	CONGRESS						LEG			1	1123	112	11	3	-2.0	10	1	10	-5.49450549450549	0								0								0								20250926100000	https://www.news18.com/politics/ladakh-congress-councillor-says-he-was-not-involved-in-violent-protest-plans-legal-action-ws-l-9598198.html
1265338955	20250926	202509	2025	2025.7288											MED	MEDIA						MED			1	036	036	03	1	4.0	10	1	10	8.4070796460177	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20250926100000	https://www.moneycontrol.com/news/brand-connect/nominations-open-for-fourth-annual-digital-engineering-awards-presented-by-l-t-technology-services-isg-cnbc-tv18-13583373.html
1265338956	20250926	202509	2025	2025.7288											MIL	MILITARY						MIL			0	112	112	11	3	-2.0	5	1	5	-5.19951632406288	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250926100000	https://www.nytimes.com/interactive/2025/09/26/world/middleeast/israel-gaza-city-destruction-war.html
1265338957	20250926	202509	2025	2025.7288											MWI	MALAWI	MWI								0	046	046	04	1	7.0	8	1	8	-0.39577836411609	0								4	Cape Maclear, Mangochi, Malawi	MI	MI12	65269	-14.0167	34.85	-1479054	4	Cape Maclear, Mangochi, Malawi	MI	MI12	65269	-14.0167	34.85	-1479054	20250926100000	https://mwnation.com/50-drums-can-keep-cape-maclear-clean/
1265338958	20250926	202509	2025	2025.7288											PHL	PHILIPPINE	PHL								1	042	042	04	1	1.9	12	1	10	-5.74412532637075	0								1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20250926100000	https://www.sunstar.com.ph/manila/co-expressed-apprehension-on-returning-to-ph
1265338959	20250926	202509	2025	2025.7288											PHL	PHILIPPINE	PHL								1	100	100	10	3	-5.0	2	1	2	-5.74412532637075	0								1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20250926100000	https://www.sunstar.com.ph/manila/co-expressed-apprehension-on-returning-to-ph
1265338960	20250926	202509	2025	2025.7288											PSEREB	HAMAS	PSE					REB			1	042	042	04	1	1.9	1	1	1	-5.19951632406288	0								4	Rafah, Gaza Strip (general), Gaza Strip	GZ	GZ00	16446	31.3292	34.2311	10420173	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250926100000	https://www.nytimes.com/interactive/2025/09/26/world/middleeast/israel-gaza-city-destruction-war.html
1265338961	20250926	202509	2025	2025.7288											PSEREB	HAMAS	PSE					REB			1	042	042	04	1	1.9	2	1	2	-5.19951632406288	0								4	Rafah, Gaza Strip (general), Gaza Strip	GZ	GZ00	16446	31.3292	34.2311	10420173	4	Rafah, Gaza Strip (general), Gaza Strip	GZ	GZ00	16446	31.3292	34.2311	10420173	20250926100000	https://www.nytimes.com/interactive/2025/09/26/world/middleeast/israel-gaza-city-destruction-war.html
1265338962	20250926	202509	2025	2025.7288											QAT	DOHA	QAT								1	042	042	04	1	1.9	10	1	10	8.16901408450704	0								4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20250926100000	https://www.newsx.com/india/kavitha-arrives-in-doha-to-join-bathukamma-celebrations-organized-by-telangana-jagruthi-qatar-chapter-81384/
