1265688176	20250928	202509	2025	2025.7342											CVL	VILLAGE						CVL			0	046	046	04	1	7.0	6	1	6	-1.79738562091504	0								5	Kachin, Kachin State, Myanmar	BM	BM04	41790	26	97.5	-417566	5	Kachin, Kachin State, Myanmar	BM	BM04	41790	26	97.5	-417566	20250928164500	https://morungexpress.com/what-has-gone-wrong-in-history
1265688177	20250928	202509	2025	2025.7342											CVL	VILLAGE						CVL			0	046	046	04	1	7.0	4	1	4	-1.79738562091504	0								4	Longri, Sichuan, China	CH	CH32	13271	32.5098	102.454	10405395	4	Longri, Sichuan, China	CH	CH32	13271	32.5098	102.454	10405395	20250928164500	https://morungexpress.com/what-has-gone-wrong-in-history
1265688178	20250928	202509	2025	2025.7342											CVL	CIVILIAN						CVL			0	0841	084	08	2	7.0	10	1	10	-1.79738562091504	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250928164500	https://morungexpress.com/what-has-gone-wrong-in-history
1265688179	20250928	202509	2025	2025.7342											CVL	COMMUNITY						CVL			0	173	173	17	4	-5.0	6	1	6	-1.26315789473684	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20250928164500	https://www.theguardian.com/australia-news/2025/sep/29/as-melbournes-public-housing-high-rise-towers-await-demolition-some-residents-hold-out-against-relocation
1265688180	20250928	202509	2025	2025.7342											DNK	COPENHAGEN	DNK								1	191	191	19	4	-9.5	4	1	4	-4.06976744186047	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Copenhagen, Køavn*, Denmark	DA	DA05	15213	55.6667	12.5833	-2745636	20250928164500	https://www.dw.com/en/denmark-bans-civil-drones-after-more-sightings/a-74166973
1265688181	20250928	202509	2025	2025.7342											DNK	COPENHAGEN	DNK								1	191	191	19	4	-9.5	1	1	1	-4.06976744186047	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250928164500	https://www.dw.com/en/denmark-bans-civil-drones-after-more-sightings/a-74166973
1265688182	20250928	202509	2025	2025.7342											EDU	COLLEGE						EDU			1	046	046	04	1	7.0	2	1	2	2.96296296296296	0								3	Merrillville, Indiana, United States	US	USIN	IN089	41.4828	-87.3328	439028	3	Merrillville, Indiana, United States	US	USIN	IN089	41.4828	-87.3328	439028	20250928164500	https://www.chicagotribune.com/2025/09/28/instant-college-offers-a-reality-at-urban-league-college-fair/
1265688183	20250928	202509	2025	2025.7342											EDU	COLLEGE						EDU			0	046	046	04	1	7.0	5	1	5	2.96296296296296	0								3	Ball State University, Indiana, United States	US	USIN		40.1995	-85.4125	449616	3	Ball State University, Indiana, United States	US	USIN		40.1995	-85.4125	449616	20250928164500	https://www.chicagotribune.com/2025/09/28/instant-college-offers-a-reality-at-urban-league-college-fair/
1265688184	20250928	202509	2025	2025.7342											EDU	COLLEGE						EDU			0	046	046	04	1	7.0	1	1	1	2.96296296296296	0								3	Indianapolis, Indiana, United States	US	USIN	IN097	39.7684	-86.158	452890	3	Indiana University, Indiana, United States	US	USIN		39.1662	-86.5264	449676	20250928164500	https://www.chicagotribune.com/2025/09/28/instant-college-offers-a-reality-at-urban-league-college-fair/
1265688185	20250928	202509	2025	2025.7342											EDU	COLLEGE						EDU			1	046	046	04	1	7.0	1	1	1	2.96296296296296	0								3	Indianapolis, Indiana, United States	US	USIN	IN097	39.7684	-86.158	452890	3	Indianapolis, Indiana, United States	US	USIN	IN097	39.7684	-86.158	452890	20250928164500	https://www.chicagotribune.com/2025/09/28/instant-college-offers-a-reality-at-urban-league-college-fair/
1265688186	20250928	202509	2025	2025.7342											ELI	ACTOR						ELI			1	020	020	02	1	3.0	10	1	10	-6.35359116022099	0								4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250928164500	https://www.livelaw.in/high-court/madras-high-court/madras-high-court-tvk-karur-stampede-plea-deregistration-misconduct-305399
1265688187	20250928	202509	2025	2025.7342											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	0	0								4	Cynon, Rhondda Cynon Taff, United Kingdom	UK	UKY9	40183	51.6333	-3.48333	-2593977	4	Cynon, Rhondda Cynon Taff, United Kingdom	UK	UKY9	40183	51.6333	-3.48333	-2593977	20250928164500	https://www.kmfm.co.uk/artist/stereophonics/
1265688188	20250928	202509	2025	2025.7342											GBR	LONDON	GBR								0	046	046	04	1	7.0	1	1	1	-0.36710719530103	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250928164500	https://www.thetimes.com/uk/obituaries/article/ruth-posner-obituary-holocaust-survivor-dvqktbw58
1265688189	20250928	202509	2025	2025.7342											GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	2	1	2	-9.27835051546395	0								4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20250928164500	https://www.penbaypilot.com:443/article/waldo-county-sheriffs-beat/262903
1265688190	20250928	202509	2025	2025.7342											GBRGOV	WELSH	GBR					GOV			0	014	014	01	1	0.0	10	1	10	-2.91060291060291	0								0								0								20250928164500	https://www.walesonline.co.uk/news/uk-news/drove-through-village-far-wales-32568242
1265688191	20250928	202509	2025	2025.7342											GBRGOV	WELSH	GBR					GOV			0	030	030	03	1	4.0	10	1	10	-2.91060291060291	0								0								0								20250928164500	https://www.walesonline.co.uk/news/uk-news/drove-through-village-far-wales-32568242
1265688192	20250928	202509	2025	2025.7342											GBRGOV	WELSH	GBR					GOV			0	032	032	03	1	4.5	10	1	10	-2.91060291060291	0								0								0								20250928164500	https://www.walesonline.co.uk/news/uk-news/drove-through-village-far-wales-32568242
1265688193	20250928	202509	2025	2025.7342											GOV	FINANCE MINIST						GOV			1	020	020	02	1	3.0	6	1	6	-0.19267822736031	0								4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	20250928164500	https://timesofmalta.com/article/alex-borg-pledges-15-corporate-tax-local-foreign-businesses.1116968
1265688194	20250928	202509	2025	2025.7342											GOV	GOVERNMENT						GOV			0	020	020	02	1	3.0	10	1	10	-8.66261398176292	0								4	Rajasthan, Sindh, Pakistan	PK	PK05	17848	26.8167	69.4917	6089686	4	Rajasthan, Sindh, Pakistan	PK	PK05	17848	26.8167	69.4917	6089686	20250928164500	https://kashmirlife.net/curfew-stretches-into-fifth-day-in-leh-as-ladakh-unrest-deepens-407185/
1265688195	20250928	202509	2025	2025.7342											GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	1	1	1	0.35087719298246	0								1		RB	RB				RB	1	Kosovo	KV	KV		42.583333	21	KV	20250928164500	https://www.gazetaexpress.com/en/Constitutional-equality-could-lead-the-country-to-extraordinary-elections/
1265688196	20250928	202509	2025	2025.7342											GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	1	1	1	0.35087719298246	0								1		RB	RB				RB	1		RB	RB				RB	20250928164500	https://www.gazetaexpress.com/en/Constitutional-equality-could-lead-the-country-to-extraordinary-elections/
1265688197	20250928	202509	2025	2025.7342											GOV	CHIEF EXECUTIVE						GOV			1	0841	084	08	2	7.0	1	1	1	1.14503816793893	0								4	Kohima, Nagaland, India	IN	IN20	17801	25.6667	94.1167	-2101197	4	Kohima, Nagaland, India	IN	IN20	17801	25.6667	94.1167	-2101197	20250928164500	https://morungexpress.com/nagaland-news-in-brief-september28-25
1265688198	20250928	202509	2025	2025.7342											GOV	FINANCE MINIST						GOV			1	193	193	19	4	-10.0	6	1	6	-0.19267822736031	0								4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	4	Qormi, Qormi, Malta	MT	MT43	19462	35.8783	14.4719	-18978	20250928164500	https://timesofmalta.com/article/alex-borg-pledges-15-corporate-tax-local-foreign-businesses.1116968
1265688199	20250928	202509	2025	2025.7342											GOVHLH	HEALTH MINIST						GOV	HLH		1	111	111	11	3	-2.0	5	1	5	-1.30522088353413	0								1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20250928164500	https://www.rnz.co.nz/news/in-depth/574403/health-advisory-group-under-fire-from-its-own-co-chair-over-fetal-alcohol-report
1265688200	20250928	202509	2025	2025.7342											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-7.06713780918728	0								4	Kempton Park, Gauteng, South Africa	SF	SF06	77346	-26.0988	28.233	-1243108	4	Kempton Park, Gauteng, South Africa	SF	SF06	77346	-26.0988	28.233	-1243108	20250928164500	https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=64171
1265688201	20250928	202509	2025	2025.7342											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-4.5045045045045	0								4	Ongolo, Omusati, Namibia	WA	WA36	22319	-17.5833	15.0167	-2585269	4	Ongolo, Omusati, Namibia	WA	WA36	22319	-17.5833	15.0167	-2585269	20250928164500	https://www.namibian.com.na/seven-outapi-by-election-polling-officers-in-car-accident/
1265688202	20250928	202509	2025	2025.7342											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-5.4320987654321	0								4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	4	Alexandria, Al Iskandariyah, Egypt	EG	EG06	61590	31.1981	29.9192	-290263	20250928164500	https://www.dailyrecord.co.uk/news/scottish-news/man-hospital-after-balaclava-attacker-35979754
