1270027446	20251021	202510	2025	2025.7973	RUSGOV	RUSSIA	RUS					GOV			USA	UNITED STATES	USA								0	041	041	04	1	1.0	10	1	10	0.61255742725881	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027447	20251021	202510	2025	2025.7973	RUSGOV	RUSSIA	RUS					GOV			USA	UNITED STATES	USA								0	057	057	05	1	8.0	10	1	10	0.61255742725881	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027448	20251021	202510	2025	2025.7973	SDN	SUDAN	SDN																		0	043	043	04	1	2.8	12	1	12	-1.77108122417192	4	El Fasher, Shamal Darfur, Sudan	SU	SU55	37080	13.6333	25.35	-1684	0								4	Tawila, Shamal Darfur, Sudan	SU	SU55	37080	13.5	24.9	-15004	20251022121500	https://www.globalsecurity.org/military/library/news/2025/10/mil-251021-unocha01.htm
1270027449	20251021	202510	2025	2025.7973	USA	UNITED STATES	USA								RUSGOV	RUSSIA	RUS					GOV			0	041	041	04	1	1.0	10	1	10	0.61255742725881	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027450	20251021	202510	2025	2025.7973	USA	UNITED STATES	USA								RUSGOV	RUSSIA	RUS					GOV			0	057	057	05	1	8.0	10	1	10	0.61255742725881	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	4	Reshetnikov, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7169	39.8467	-2992083	20251022121500	https://www.globalsecurity.org/wmd/library/news/russia/2025/10/russia-251021-russia-mfa04.htm
1270027451	20251022	202510	2025	2025.8000											AFR	AFRICA	AFR								1	042	042	04	1	1.9	2	1	2	4.14593698175787	0								4	Muizenberg, Western Cape, South Africa	SF	SF11	77317	-34.1045	18.4683	-1263987	4	Muizenberg, Western Cape, South Africa	SF	SF11	77317	-34.1045	18.4683	-1263987	20251022121500	https://www.citizen.co.za/lifestyle/health/cape-town-kite-festival-returns/
1270027452	20251022	202510	2025	2025.8000											AFR	AFRICA	AFR								1	042	042	04	1	1.9	8	1	8	4.14593698175787	0								4	Youngsfield, Western Cape, South Africa	SF	SF11	77317	-34	18.4833	-1304049	4	Youngsfield, Western Cape, South Africa	SF	SF11	77317	-34	18.4833	-1304049	20251022121500	https://www.citizen.co.za/lifestyle/health/cape-town-kite-festival-returns/
1270027453	20251022	202510	2025	2025.8000											AFR	AFRICA	AFR								0	042	042	04	1	1.9	10	1	10	1.49812734082397	0								4	Dugbe, Grand Bassa, Liberia	LI	LI11	147177	6.08333	-10.1667	-2131361	4	Dugbe, Grand Bassa, Liberia	LI	LI11	147177	6.08333	-10.1667	-2131361	20251022121500	https://www.cantechletter.com/newswires/pasofino-gold-announces-closing-of-non-brokered-private-placement-for-gross-proceeds-of-c12-0-million/
1270027454	20251022	202510	2025	2025.8000											AFR	AFRICA	AFR								1	051	051	05	1	3.4	5	1	5	8.29268292682927	0								4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20251022121500	https://www.hospitalitynet.org/news/4129429.html
1270027455	20251022	202510	2025	2025.8000											AFR	AFRICA	AFR								0	051	051	05	1	3.4	10	1	10	1.90796857463524	0								4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20251022121500	https://www.globalsecurity.org/military/library/news/2025/10/mil-251021-philippines-dfa01.htm
