1266180390	20251001	202510	2025	2025.7425											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	2	1	2	5.57491289198606	0								4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	20251001081500	https://www.readingchronicle.co.uk/news/25507275.wokingham-berkshire-named-happiest-place-live/
1266180391	20251001	202510	2025	2025.7425											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	2	1	2	1.40845070422535	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20251001081500	https://www.freepressjournal.in/entertainment/sonam-kapoor-pregnant-actress-expecting-second-child-with-anand-ahuja-7-years-after-marriage-official-announcement-to-be-made-soon
1266180392	20251001	202510	2025	2025.7425											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	8	1	8	-5.51181102362205	0								4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20251001081500	https://www.tvguide.co.uk/schedule/9c45b23e-3a76-5c05-afc6-a67f62f96443/boardwalk-empire
1266180393	20251001	202510	2025	2025.7425											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	6	1	6	7.35294117647059	0								4	Peterborough, Peterborough, United Kingdom	UK	UKK3	40098	52.5833	-0.25	-2605287	4	Peterborough, Peterborough, United Kingdom	UK	UKK3	40098	52.5833	-0.25	-2605287	20251001081500	https://www.tvguide.co.uk/schedule/adcd22d1-0bfc-5a96-9043-5b895e5ee481/the-yorkshire-auction-house
1266180394	20251001	202510	2025	2025.7425											GBR	UNITED KINGDOM	GBR								1	0874	087	08	2	10.0	2	1	2	5.57491289198606	0								4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	20251001081500	https://www.readingchronicle.co.uk/news/25507275.wokingham-berkshire-named-happiest-place-live/
1266180395	20251001	202510	2025	2025.7425											GBR	BRITISH	GBR								1	110	110	11	3	-2.0	5	1	5	0.27173913043478	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20251001081500	https://www.freepressjournal.in/lifestyle/gandhi-jayanti-2025-all-you-need-to-know-about-the-father-of-the-nation
1266180396	20251001	202510	2025	2025.7425											GBR	BRITISH	GBR								1	110	110	11	3	-2.0	2	1	2	0.27173913043478	0								4	Raj Ghat, Uttar Pradesh, India	IN	IN36	17922	24.8366	78.4326	10449211	4	Raj Ghat, Uttar Pradesh, India	IN	IN36	17922	24.8366	78.4326	10449211	20251001081500	https://www.freepressjournal.in/lifestyle/gandhi-jayanti-2025-all-you-need-to-know-about-the-father-of-the-nation
1266180397	20251001	202510	2025	2025.7425											GHA	GHANA	GHA								1	045	045	04	1	5.0	5	1	5	4.03225806451613	0								4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20251001081500	http://www.businessghana.com/site/news/general/335444/Ghana,-Switzerland,-and-UNDP-Launch-Climate-Smart-Rice-Project-to-Drive-Sustainable-Agriculture
1266180398	20251001	202510	2025	2025.7425											GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	6	1	6	-1.34099616858237	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20251001081500	https://warontherocks.com/2025/10/explaining-trumps-surprising-turn-to-pakistan/
1266180399	20251001	202510	2025	2025.7425											GOV	PRESIDENT						GOV			0	042	042	04	1	1.9	10	1	10	1.75	0								4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20251001081500	https://www.decaturdaily.com/news/limestone_county/athens-annexes-land-at-corner-of-tanner-crossroads-possibly-for-business/article_1b70d847-fdd9-4b97-bdc8-a5f8634cf4c1.html
1266180400	20251001	202510	2025	2025.7425											GOV	GOVERNMENT OFFICIAL						GOV			0	090	090	09	2	-2.0	10	1	10	-4	0								5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20251001081500	https://www.thehitavada.com/Encyc/2025/10/1/did-nothing-wrong-vijay-on-stampede.html
1266180401	20251001	202510	2025	2025.7425											GOV	CHIEF MINISTER						GOV			1	100	100	10	3	-5.0	8	1	8	-4	0								5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20251001081500	https://www.thehitavada.com/Encyc/2025/10/1/did-nothing-wrong-vijay-on-stampede.html
1266180402	20251001	202510	2025	2025.7425											GOV	CHIEF MINISTER						GOV			1	100	100	10	3	-5.0	2	1	2	-4	0								4	West District, India (general), India	IN	IN00	17864	27.3333	88.25	-2114745	4	West District, India (general), India	IN	IN00	17864	27.3333	88.25	-2114745	20251001081500	https://www.thehitavada.com/Encyc/2025/10/1/did-nothing-wrong-vijay-on-stampede.html
1266180403	20251001	202510	2025	2025.7425											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-0.82644628099173	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251001081500	https://www.moneycontrol.com/city/up-man-75-marries-35-year-old-woman-in-up-s-jaunpur-dies-day-after-wedding-article-13592525.html
