1263215374	20250915	202509	2025	2025.6986											BRA	BRAZILIAN	BRA								1	052	052	05	1	3.5	2	1	2	-4.79166666666666	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20250915121500	https://www.presstv.ir/Detail/2025/09/15/755054/Lula-hails-Bolsonaro-verdict-tells-Trump-Brazil-democracy-not-negotiable
1263215375	20250915	202509	2025	2025.6986											BUS	SERVER						BUS			0	020	020	02	1	3.0	10	1	10	2.20925385577324	0								1	Netherlands	NL	NL		52.5	5.75	NL	1	Netherlands	NL	NL		52.5	5.75	NL	20250915121500	https://www.cnet.com/tech/services-and-software/expressvpn-vs-surfshark/
1263215376	20250915	202509	2025	2025.6986											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	5	1	5	4.70588235294118	0								4	Adda, Ghana (general), Ghana	GH	GH00	190631	5.77416	0.633767	-2068020	4	Adda, Ghana (general), Ghana	GH	GH00	190631	5.77416	0.633767	-2068020	20250915121500	https://www.myjoyonline.com/ipro-solutions-cto-honoured-at-diplomatic-envoys-conference-on-sdg-2/
1263215377	20250915	202509	2025	2025.6986											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	1	1	1	-1.86915887850467	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20250915121500	https://www.primepublishers.com/towntimesnews/news/community_events/naugatuck-valley-genealogy-club-program-on-new-england-archaeology-sites/article_c49de9ce-a491-4381-bce1-91ce5cdfd070.html
1263215378	20250915	202509	2025	2025.6986											BUS	CORPORATION						BUS			1	042	042	04	1	1.9	6	1	6	7.71144278606966	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20250915121500	https://www.bangkokpost.com/thailand/pr/3104900/true-unveils-futuristic-branding-shop-at-dusit-central-park
1263215379	20250915	202509	2025	2025.6986											BUS	COMPANY						BUS			0	057	057	05	1	8.0	10	1	10	-2.54237288135594	0								1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20250915121500	https://www.channelnewsasia.com/singapore/man-fined-illegal-short-term-stays-private-residential-properties-1-million-ura-5349976
1263215380	20250915	202509	2025	2025.6986											BUS	BUSINESS						BUS			0	139	139	13	3	-7.0	3	1	3	-0.62344139650873	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20250915121500	https://www.livemint.com/companies/start-ups/prosus-swiggy-rapido-stake-sale-11757919276042.html
1263215381	20250915	202509	2025	2025.6986											BUS	BUSINESS						BUS			0	139	139	13	3	-7.0	2	1	2	-0.62344139650873	0								4	Rishikesh, Uttaranchal, India	IN	IN39	70287	30.1167	78.3167	-2109472	4	Rishikesh, Uttaranchal, India	IN	IN39	70287	30.1167	78.3167	-2109472	20250915121500	https://www.livemint.com/companies/start-ups/prosus-swiggy-rapido-stake-sale-11757919276042.html
1263215382	20250915	202509	2025	2025.6986											BUS	COMPANY						BUS			1	190	190	19	4	-10.0	5	1	5	2.8229255774166	0								3	Statesville, North Carolina, United States	US	USNC	NC097	35.7826	-80.8873	995438	3	Statesville, North Carolina, United States	US	USNC	NC097	35.7826	-80.8873	995438	20250915121500	https://www.postandcourier.com/health/when-your-doctor-says-yes-but-insurance-says-no-here-are-tips-to-help/article_e73aa379-da67-454e-af94-488b568e9794.html
1263215383	20250915	202509	2025	2025.6986											CAN	CANADA	CAN								0	043	043	04	1	2.8	4	1	4	-0.17145306472353	0								4	Stillwater, British Columbia, Canada	CA	CA02	190729	49.7667	-124.317	-574186	4	Stillwater, British Columbia, Canada	CA	CA02	190729	49.7667	-124.317	-574186	20250915121500	http://www.torontotelegraph.com/news/278577967/stillwater-critical-minerals-provides-update-on-corporate-exploration-and-development-activities
