1267606488	20251009	202510	2025	2025.7644											DNKGRL	GREENLAND	DNK								0	043	043	04	1	2.8	8	1	8	0.919238345370974	0								1	Greenland	GL	GL		72	-40	GL	1	Greenland	GL	GL		72	-40	GL	20251009070000	https://www.yachtingworld.com/sailing-across-atlantic/buying-a-yacht-for-250000-5000000-inside-the-world-of-arc-sailors-buying-their-dream-boat-160252
1267606489	20251009	202510	2025	2025.7644											DOM	DOMINICAN REPUBLIC	DOM								0	040	040	04	1	1.0	3	1	3	3.33333333333334	0								1	Dominican Republic	DR	DR		19	-70.666667	DR	1	Dominican Republic	DR	DR		19	-70.666667	DR	20251009070000	https://www.fox5atlanta.com/news/villa-rica-er-nurse-hurt-dominican-republic-diving-accident
1267606490	20251009	202510	2025	2025.7644											EDU	SCHOOL						EDU			0	020	020	02	1	3.0	10	1	10	-4.37235543018336	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251009070000	https://wjla.com/news/local/dc-student-truancy-absenteeism-missing-classes-education-anc-ward-8-juvenile-crime-solutions-roundtable-truant-skipping-school-external-factors-internal-challenge-parenting-adolfo-white-donohue-ridley-children
1267606491	20251009	202510	2025	2025.7644											EDU	UNIVERSITY						EDU			1	042	042	04	1	1.9	3	1	3	2.41228070175439	0								4	Port Harcourt, Rivers, Nigeria	NI	NI50	191389	4.78917	6.99861	-2025046	4	Port Harcourt, Rivers, Nigeria	NI	NI50	191389	4.78917	6.99861	-2025046	20251009070000	https://thenationonlineng.net/rivers-varsity-to-host-second-global-conference-workshop/
1267606492	20251009	202510	2025	2025.7644											EDU	STUDENT						EDU			0	043	043	04	1	2.8	5	1	5	-0.22172949002218	0								4	University Of The West Indies, Saint Andrew, Jamaica	JM	JM08	18425	18.001	-76.7409	-3754208	4	University Of The West Indies, Saint Andrew, Jamaica	JM	JM08	18425	18.001	-76.7409	-3754208	20251009070000	https://jamaica-gleaner.com/article/news/20251009/utech-add-1000-student-beds-amid-homelessness-concerns
1267606493	20251009	202510	2025	2025.7644											EDU	STUDENT						EDU			1	071	071	07	2	7.4	10	1	10	16.5644171779141	0								1	Jamaica	JM	JM		18.25	-77.5	JM	1	Jamaica	JM	JM		18.25	-77.5	JM	20251009070000	https://jamaica-gleaner.com/article/news/20251009/corporate-hands-tip-friendly-society-awards-over-45m-scholarships-over-60
1267606494	20251009	202510	2025	2025.7644											EUR	EUROPE	EUR								1	061	061	06	2	6.4	5	1	5	-0.82191780821918	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20251009070000	https://www.birminghammail.co.uk/news/midlands-news/uk-households-risks-blackouts-during-32639866
1267606495	20251009	202510	2025	2025.7644											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	6	1	6	6.30841121495327	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	India	IN	IN		20	77	IN	20251009070000	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-uk-sign-terms-of-reference-to-reposition-the-joint-economic-and-trade-committee-jetco/articleshow/124406600.cms
1267606496	20251009	202510	2025	2025.7644											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	2	1	2	6.30841121495327	0								1	India	IN	IN		20	77	IN	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251009070000	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-uk-sign-terms-of-reference-to-reposition-the-joint-economic-and-trade-committee-jetco/articleshow/124406600.cms
1267606497	20251009	202510	2025	2025.7644											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	2	1	2	6.30841121495327	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251009070000	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-uk-sign-terms-of-reference-to-reposition-the-joint-economic-and-trade-committee-jetco/articleshow/124406600.cms
