1266797917	20251004	202510	2025	2025.7507											JUD	PROSECUTOR						JUD			0	010	010	01	1	0.0	1	1	1	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797918	20251004	202510	2025	2025.7507											JUD	JUDGE						JUD			0	051	051	05	1	3.4	8	1	8	-3.36391437308868	0								1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20251004140000	https://www.cubaheadlines.com/articles/312285
1266797919	20251004	202510	2025	2025.7507											JUD	PROSECUTOR						JUD			0	061	061	06	2	6.4	1	1	1	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797920	20251004	202510	2025	2025.7507											KEN	NAIROBI	KEN								0	020	020	02	1	3.0	1	1	1	3.33904109589041	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	1	United States	US	US		39.828175	-98.5795	US	20251004140000	https://www.miragenews.com/lima-declaration-unites-region-for-greener-1546501/
1266797921	20251004	202510	2025	2025.7507											LAB	EMPLOYEE						LAB			0	110	110	11	3	-2.0	5	1	5	-2.39874164372788	0								1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20251004140000	https://www.wrvo.org/podcast/campbell-conversations/2025-10-04/nina-jankowicz-on-the-campbell-conversations
1266797922	20251004	202510	2025	2025.7507											MEX	MEXICO	MEX								0	061	061	06	2	6.4	2	1	2	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797923	20251004	202510	2025	2025.7507											MEX	MEXICO	MEX								0	080	080	08	2	5.0	4	1	4	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Alcalde, Michoacáde Ocampo, Mexico	MX	MX16	20333	18.9556	-102.467	6256542	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797924	20251004	202510	2025	2025.7507											MEX	MEXICO	MEX								0	080	080	08	2	5.0	4	1	4	-5.36702767749699	0								4	El Alcalde, Michoacáde Ocampo, Mexico	MX	MX16	20333	18.9556	-102.467	6256542	4	El Alcalde, Michoacáde Ocampo, Mexico	MX	MX16	20333	18.9556	-102.467	6256542	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797925	20251004	202510	2025	2025.7507											MIL	MILITARY						MIL			0	020	020	02	1	3.0	10	1	10	-1.50943396226415	0								1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20251004140000	https://www.dailydot.com/viral-politics/trump-quantico-speech-obama-bop-down-the-stairs/
1266797926	20251004	202510	2025	2025.7507											MIL	MILITARY						MIL			0	042	042	04	1	1.9	5	1	5	-5.36702767749699	0								4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	4	El Guayabo, Michoacáde Ocampo, Mexico	MX	MX16	20427	19.0417	-100.642	6256206	20251004140000	https://theintercept.com/2025/10/02/trump-mexico-drug-war-cartels-bullets/
1266797927	20251004	202510	2025	2025.7507											MIL	COAST GUARD						MIL			0	042	042	04	1	1.9	2	1	2	-0.0733675715333799	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20251004140000	https://waywordradio.org/diamond-dust/
1266797928	20251004	202510	2025	2025.7507											MIL	CARRIER						MIL			1	043	043	04	1	2.8	5	1	5	2.22929936305733	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20251004140000	https://finance.yahoo.com/news/united-airlines-earnings-preview-expect-120234440.html
