1267998530	20251011	202510	2025	2025.7699											GOV	PRESIDENT						GOV			1	173	173	17	4	-5.0	1	1	1	-3.8265306122449	0								3	Fulton County, Georgia, United States	US	USGA		33.7668	-84.4499	1694833	3	Fulton County, Georgia, United States	US	USGA		33.7668	-84.4499	1694833	20251011040000	https://www.atlantanewsfirst.com/2025/10/10/some-georgia-lawmakers-urge-state-involvement-dekalb-superintendent-case/
1267998531	20251011	202510	2025	2025.7699											GOV	GOVERNMENT						GOV			1	190	190	19	4	-10.0	10	1	10	-6.57439446366782	0								4	Ashanti, Ghana (general), Ghana	GH	GH00	190727	6.91428	0.536667	-2069925	4	Ashanti, Ghana (general), Ghana	GH	GH00	190727	6.91428	0.536667	-2069925	20251011040000	https://www.myjoyonline.com/joy-primes-prime-insight-to-delve-into-wontumi-prosecution-and-teachers-protests-this-saturday/
1267998532	20251011	202510	2025	2025.7699											GOVDEV	PUBLIC SERVICE COMMISSION						GOV	DEV		0	0841	084	08	2	7.0	10	1	10	-4.3778801843318	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20251011040000	https://www.thesouthafrican.com/lifestyle/social-development-minister-firing-line-over-irregular-hiring-2025/
1267998533	20251011	202510	2025	2025.7699											HLH	DOCTOR						HLH			0	043	043	04	1	2.8	6	1	6	2.82485875706215	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251011040000	https://www.wltx.com/article/news/local/lexington-medical-interpreters-enhance-patient-care/101-5bac1723-084c-4ff1-a922-ec4576949406
1267998534	20251011	202510	2025	2025.7699											HLH	DOCTOR						HLH			1	073	073	07	2	7.4	6	1	6	2.82485875706215	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251011040000	https://www.wltx.com/article/news/local/lexington-medical-interpreters-enhance-patient-care/101-5bac1723-084c-4ff1-a922-ec4576949406
1267998535	20251011	202510	2025	2025.7699											IND	JAMMU AND KASHMIR	IND								1	190	190	19	4	-10.0	1	1	1	-3.93120393120393	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Chinar, Federally Administered Tribal Areas, Pakistan	PK	PK01	23633	33.7983	70.3689	384654	20251011040000	http://www.cambodiantimes.com/news/278630098/j-k-army-pays-tribute-to-2-soldiers-killed-in-kokernag-anti-terror-operation
1267998536	20251011	202510	2025	2025.7699											INDGOV	NITISH KUMAR	IND					GOV			1	040	040	04	1	1.0	2	1	2	0	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	4	Purnea, Bihar, India	IN	IN34	17621	25.7833	87.4667	-2108426	20251011040000	https://www.rediff.com/news/interview/bharat-bind-bjp-high-command-will-decide-nda-chief-minister/20251011.htm
1267998537	20251011	202510	2025	2025.7699											ISR	ISRAEL	ISR								1	051	051	05	1	3.4	5	1	5	-7.29442970822281	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20251011040000	https://freebeacon.com/america/ai-giant-perplexity-is-sponsor-of-candace-owens-podcast-suggesting-conservative-commentator-involved-in-kirk-assassination/
1267998538	20251011	202510	2025	2025.7699											ISR	ISRAEL	ISR								1	0874	087	08	2	10.0	1	1	1	-2.2238695329874	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251011040000	https://www.yahoo.com/news/articles/trump-administration-sealed-gaza-ceasefire-004508753.html
1267998539	20251011	202510	2025	2025.7699											ITA	ITALY	ITA								1	043	043	04	1	2.8	1	1	1	-0.34013605442177	0								1	Italy	IT	IT		42.833333	12.833333	IT	1	Spain	SP	SP		40	-4	SP	20251011040000	https://www.uniondemocrat.com/news/article_4e51a534-cb04-44dd-88ac-5c4f06988aa4.html
1267998540	20251011	202510	2025	2025.7699											ITA	ITALY	ITA								1	190	190	19	4	-10.0	2	1	2	-0.34013605442177	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251011040000	https://www.uniondemocrat.com/news/article_4e51a534-cb04-44dd-88ac-5c4f06988aa4.html
